_date,total_clones,unique_clones
2024-08-07,2,1
2024-08-11,2,1
2024-08-18,2,1
2024-08-25,2,1
2024-09-01,2,1
2024-09-08,2,1
2024-09-15,2,1
2024-09-22,2,1
2024-09-29,2,1
2024-10-06,2,1
2024-10-13,2,1
2024-10-20,2,1
2024-10-27,2,1
2024-10-31,5,1
2024-11-03,2,1
2024-11-10,2,1
2024-11-17,2,1
2024-11-24,2,1
2024-12-01,2,1
2024-12-08,2,1
2024-12-15,2,1
2024-12-22,2,1
2024-12-29,2,1
2025-01-05,2,1
2025-01-12,2,1
2025-01-19,2,1
2025-01-26,2,1
2025-02-02,2,1
2025-02-09,2,1
2025-02-16,2,1
2025-02-23,2,1
2025-03-02,2,1
2025-03-09,13,10
2025-03-10,1,1
2025-03-15,1,1
2025-03-16,4,3
2025-03-19,1,1
2025-03-20,1,1
2025-03-22,1,1
2025-03-23,5,4
2025-03-29,1,1
2025-03-30,5,4
2025-04-06,4,3
2025-04-07,1,1
2025-04-11,1,1
2025-04-13,7,5
2025-04-17,1,1
2025-04-19,1,1
2025-04-20,6,5
2025-04-26,1,1
2025-04-27,6,5
2025-05-02,1,1
2025-05-04,6,4
2025-05-10,1,1
2025-05-11,5,4
2025-05-17,1,1
