_date,total_views,unique_views
2024-07-30,85,1
2024-07-31,5,1
2024-08-05,6,1
2024-08-06,2,1
2024-08-07,20,1
2024-08-13,1,1
2024-09-30,3,1
2024-10-31,37,1
2024-11-01,7,1
2025-03-09,8,1
2025-04-23,1,1
2025-06-01,1,1
2025-06-13,1,1
2025-07-08,6,1
2025-07-10,1,1
2025-07-21,1,1
2025-08-20,1,1
2025-08-25,1,1
2025-09-01,1,1
2025-09-18,1,1
2025-11-17,2,1
2025-11-22,1,1
2025-12-13,0,0
2025-12-14,0,0
2025-12-15,0,0
2025-12-16,0,0
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
